Respondent's ID,Gender,Age Group,Highest Qualifications,Employment Status,Income Level,Country,Q1,Q2a,Q2b,Q2c,Q2d,Q2e,Q3a,Q3b,Q3c,Q3d,Q3e,Q4a,Q4b,Q4c,Q4d,Q4e,Q4f,Q4g,Q5_1,Q5_2,Q5_3,Q5_4,Q5_5,Q5_6,Q6a,Q6b,Q6c,Q6d,Q6e
147,Male,21-24,Master's Degree,Un-employed,Less than $20K,India,Referred by a friend,Yes,Yes,Yes,Yes,Yes,Satisfied,Highly satisfied,Highly satisfied,Highly satisfied,Highly satisfied,Satisfied,Highly satisfied,Satisfied,Neutral,Highly satisfied,Neutral,Highly satisfied,Quizzes & Solutions,,Weekly online calls,Tableau project examples,Normal class discussions,,9,5,8,7,7
148,Male,15-20,Degree,Student,Less than $20K,United States,Referred by a friend,Yes,Yes,Yes,Yes,Yes,Satisfied,Satisfied,Highly satisfied,Satisfied,Satisfied,Satisfied,Highly satisfied,Satisfied,Highly satisfied,Highly satisfied,Highly satisfied,Neutral,,Mock Exam,Weekly online calls,Tableau project examples,Normal class discussions,Trainer's feedback through comments,9,4,10,7,9
149,Male,21-24,Diploma,Self-employed,Less than $20K,India,Website,Yes,Yes,Yes,Yes,Yes,Neutral,Satisfied,Highly satisfied,Satisfied,Satisfied,Highly satisfied,Neutral,Highly satisfied,Highly satisfied,Highly satisfied,Satisfied,Satisfied,Quizzes & Solutions,,Weekly online calls,Tableau project examples,Normal class discussions,,8,7,9,10,9
150,Male,31-34,PHD,Employed,$45K-$139K,Poland,LinkedIn,Yes,Yes,Yes,Yes,Yes,Highly satisfied,Highly satisfied,Highly satisfied,Highly satisfied,Satisfied,Highly satisfied,Highly satisfied,Highly satisfied,Highly satisfied,Neutral,Satisfied,Highly satisfied,Quizzes & Solutions,,Weekly online calls,Tableau project examples,Normal class discussions,,9,1,7,10,8
151,Male,21-24,Diploma,Self-employed,$20k-$44K,United States,Facebook,Yes,Yes,Yes,Yes,Yes,Highly satisfied,Highly satisfied,Satisfied,Highly satisfied,Satisfied,Satisfied,Satisfied,Satisfied,Neutral,Highly satisfied,Highly satisfied,Satisfied,Quizzes & Solutions,Mock Exam,Weekly online calls,Tableau project examples,Normal class discussions,,10,8,10,7,8
152,Female,35-40,Degree,Student,Less than $20K,United States,Facebook,Yes,Yes,Yes,Yes,Yes,Highly satisfied,Highly satisfied,Satisfied,Highly satisfied,Highly satisfied,Highly satisfied,Highly satisfied,Neutral,Highly satisfied,Neutral,Neutral,Neutral,,Mock Exam,Weekly online calls,Tableau project examples,,,2,4,7,7,9
153,Female,25-30,Certificate,Student,Less than $20K,India,Newsletter,Yes,Yes,Yes,Yes,Yes,Satisfied,Satisfied,Satisfied,Satisfied,Highly satisfied,Satisfied,Satisfied,Highly satisfied,Highly satisfied,Highly satisfied,Neutral,Highly satisfied,Quizzes & Solutions,Mock Exam,Weekly online calls,Tableau project examples,,Trainer's feedback through comments,1,10,7,7,8
154,Female,35-40,Master's Degree,Student,Less than $20K,Peru,Referred by a friend,Yes,Yes,Yes,Yes,Yes,Neutral,Satisfied,Highly satisfied,Highly satisfied,Highly satisfied,Satisfied,Highly satisfied,Highly satisfied,Satisfied,Satisfied,Highly satisfied,Highly satisfied,,,Weekly online calls,Tableau project examples,,,8,9,9,7,8
155,Male,21-24,Certificate,Employed,Less than $20K,Japan,Website,Yes,Yes,Yes,Yes,Yes,Satisfied,Highly satisfied,Neutral,Highly satisfied,Satisfied,Satisfied,Satisfied,Highly satisfied,Neutral,Highly satisfied,Satisfied,Highly satisfied,Quizzes & Solutions,,Weekly online calls,Tableau project examples,Normal class discussions,,8,8,10,10,8
156,Female,25-30,Certificate,Self-employed,Less than $20K,Netherlands,Website,Yes,Yes,Yes,Yes,Yes,Highly satisfied,Highly satisfied,Highly satisfied,Highly satisfied,Highly satisfied,Highly satisfied,Highly satisfied,Satisfied,Neutral,Neutral,Neutral,Neutral,Quizzes & Solutions,,Weekly online calls,Tableau project examples,Normal class discussions,,8,9,7,7,8
157,Male,25-30,Degree,Employed,$45K-$139K,United States,Referred by a friend,Yes,Yes,Yes,Yes,Yes,Satisfied,Highly satisfied,Highly satisfied,Neutral,Highly satisfied,Highly satisfied,Highly satisfied,Satisfied,Highly satisfied,Highly satisfied,Satisfied,Highly satisfied,Quizzes & Solutions,Mock Exam,Weekly online calls,Tableau project examples,Normal class discussions,,1,9,8,7,8
158,Male,25-30,Degree,Student,Less than $20K,Japan,Referred by a friend,Yes,Yes,Yes,Yes,Yes,Highly satisfied,Highly satisfied,Highly satisfied,Neutral,Highly satisfied,Highly satisfied,Neutral,Satisfied,Neutral,Satisfied,Neutral,Satisfied,,Mock Exam,Weekly online calls,Tableau project examples,,,7,7,10,7,8
159,Male,35-40,Master's Degree,Employed,$45K-$139K,United Kingdom,Referred by a friend,Yes,Yes,Yes,Yes,Yes,Satisfied,Neutral,Satisfied,Neutral,Satisfied,Highly satisfied,Satisfied,Satisfied,Highly satisfied,Highly satisfied,Highly satisfied,Satisfied,,,Weekly online calls,Tableau project examples,Normal class discussions,Trainer's feedback through comments,10,9,10,7,8
160,Female,31-34,Diploma,Student,Less than $20K,Brazil,LinkedIn,Yes,Yes,Yes,Yes,Yes,Satisfied,Neutral,Neutral,Satisfied,Satisfied,Highly satisfied,Satisfied,Satisfied,Neutral,Highly satisfied,Satisfied,Satisfied,Quizzes & Solutions,Mock Exam,Weekly online calls,Tableau project examples,,,10,7,10,8,8
161,Female,25-30,Master's Degree,Self-employed,Less than $20K,Ukraine,Website,Yes,Yes,Yes,Yes,Yes,Neutral,Highly satisfied,Satisfied,Highly satisfied,Satisfied,Satisfied,Satisfied,Highly satisfied,Highly satisfied,Highly satisfied,Neutral,Neutral,Quizzes & Solutions,,Weekly online calls,Tableau project examples,Normal class discussions,,5,8,10,7,9
162,Female,25-30,PHD,Student,Less than $20K,Canada,Newsletter,Yes,Yes,Yes,Yes,Yes,Highly satisfied,Neutral,Neutral,Highly satisfied,Satisfied,Highly satisfied,Satisfied,Satisfied,Satisfied,Neutral,Highly satisfied,Satisfied,Quizzes & Solutions,,Weekly online calls,Tableau project examples,Normal class discussions,,4,10,10,7,8
163,Male,41+,Degree,Student,Less than $20K,India,Website,Yes,Yes,Yes,Yes,Yes,Neutral,Satisfied,Satisfied,Highly satisfied,Satisfied,Satisfied,Highly satisfied,Satisfied,Neutral,Highly satisfied,Satisfied,Satisfied,Quizzes & Solutions,,Weekly online calls,,Normal class discussions,,1,9,10,7,9
164,Male,21-24,Diploma,Student,Less than $20K,Qatar,LinkedIn,Yes,Yes,Yes,Yes,Yes,Highly satisfied,Satisfied,Satisfied,Satisfied,Satisfied,Satisfied,Satisfied,Satisfied,Satisfied,Highly satisfied,Highly satisfied,Highly satisfied,Quizzes & Solutions,Mock Exam,Weekly online calls,,,,9,7,10,7,8
165,Female,25-30,PHD,Student,Less than $20K,Portugal,Through Ads,Yes,Yes,Yes,Yes,Yes,Highly satisfied,Neutral,Satisfied,Highly satisfied,Highly satisfied,Satisfied,Highly satisfied,Satisfied,Satisfied,Highly satisfied,Highly satisfied,Satisfied,Quizzes & Solutions,Mock Exam,Weekly online calls,Tableau project examples,,,9,9,10,9,8
166,Female,21-24,Degree,Student,Less than $20K,India,LinkedIn,Yes,Yes,Yes,Yes,Yes,Neutral,Satisfied,Satisfied,Highly satisfied,Neutral,Highly satisfied,Satisfied,Highly satisfied,Satisfied,Satisfied,Satisfied,Satisfied,,,Weekly online calls,Tableau project examples,Normal class discussions,,9,7,10,7,8
167,Male,31-34,Certificate,Student,Less than $20K,Portugal,Website,Yes,Yes,Yes,Yes,Yes,Neutral,Highly satisfied,Highly satisfied,Satisfied,Neutral,Satisfied,Highly satisfied,Highly satisfied,Satisfied,Highly satisfied,Highly satisfied,Highly satisfied,Quizzes & Solutions,Mock Exam,Weekly online calls,Tableau project examples,,,4,10,10,7,8
168,Male,25-30,PHD,Employed,$140K-$149K,Peru,Through Ads,Yes,Yes,Yes,Yes,Yes,Satisfied,Satisfied,Satisfied,Highly satisfied,Neutral,Satisfied,Highly satisfied,Satisfied,Highly satisfied,Highly satisfied,Highly satisfied,Highly satisfied,Quizzes & Solutions,,Weekly online calls,Tableau project examples,Normal class discussions,,3,7,7,8,8
169,Female,25-30,Diploma,Student,Less than $20K,Malaysia,Facebook,Yes,Yes,Yes,Yes,Yes,Highly satisfied,Satisfied,Highly satisfied,Satisfied,Satisfied,Satisfied,Satisfied,Satisfied,Highly satisfied,Satisfied,Highly satisfied,Highly satisfied,Quizzes & Solutions,Mock Exam,Weekly online calls,,Normal class discussions,,4,9,10,7,7
170,Male,35-40,PHD,Employed,$45K-$139K,United Kingdom,Website,Yes,Yes,Yes,Yes,Yes,Highly satisfied,Satisfied,Neutral,Neutral,Highly satisfied,Highly satisfied,Satisfied,Neutral,Highly satisfied,Satisfied,Satisfied,Highly satisfied,Quizzes & Solutions,Mock Exam,Weekly online calls,Tableau project examples,Normal class discussions,,9,7,10,10,8
171,Male,35-40,Certificate,Self-employed,Less than $20K,Poland,Through Ads,Yes,Yes,Yes,Yes,Yes,Neutral,Highly satisfied,Satisfied,Neutral,Satisfied,Highly satisfied,Highly satisfied,Highly satisfied,Highly satisfied,Satisfied,Neutral,Highly satisfied,Quizzes & Solutions,,Weekly online calls,,Normal class discussions,,10,7,10,8,8
172,Female,15-20,Master's Degree,Student,Less than $20K,United Kingdom,LinkedIn,Yes,Yes,Yes,Yes,Yes,Satisfied,Highly satisfied,Highly satisfied,Neutral,Highly satisfied,Satisfied,Neutral,Neutral,Satisfied,Satisfied,Highly satisfied,Highly satisfied,Quizzes & Solutions,,Weekly online calls,Tableau project examples,,,8,9,10,7,8
173,Female,21-24,Degree,Student,Less than $20K,United Kingdom,Through Ads,Yes,Yes,Yes,Yes,Yes,Highly satisfied,Satisfied,Highly satisfied,Highly satisfied,Highly satisfied,Satisfied,Highly satisfied,Neutral,Satisfied,Satisfied,Highly satisfied,Highly satisfied,Quizzes & Solutions,,Weekly online calls,Tableau project examples,Normal class discussions,,8,8,10,7,8
174,Male,25-30,PHD,Un-employed,Less than $20K,Venezuela,Referred by a friend,Yes,Yes,Yes,Yes,Yes,Highly satisfied,Highly satisfied,Neutral,Neutral,Satisfied,Satisfied,Highly satisfied,Neutral,Highly satisfied,Highly satisfied,Neutral,Highly satisfied,Quizzes & Solutions,Mock Exam,Weekly online calls,Tableau project examples,Normal class discussions,,4,8,7,7,8
175,Male,35-40,Degree,Self-employed,Less than $20K,Colombia,Facebook,Yes,Yes,Yes,Yes,Yes,Satisfied,Satisfied,Highly satisfied,Satisfied,Neutral,Highly satisfied,Satisfied,Satisfied,Satisfied,Highly satisfied,Satisfied,Highly satisfied,,,Weekly online calls,Tableau project examples,,,10,7,10,7,8
176,Male,15-20,Degree,Un-employed,Less than $20K,Czech Republic,Website,Yes,Yes,Yes,Yes,Yes,Highly satisfied,Satisfied,Highly satisfied,Highly satisfied,Highly satisfied,Satisfied,Neutral,Neutral,Highly satisfied,Highly satisfied,Highly satisfied,Highly satisfied,Quizzes & Solutions,,Weekly online calls,Tableau project examples,Normal class discussions,,8,7,10,7,8
177,Female,35-40,Master's Degree,Employed,$45K-$139K,United States,Referred by a friend,Yes,Yes,Yes,Yes,Yes,Satisfied,Neutral,Satisfied,Neutral,Satisfied,Satisfied,Highly satisfied,Satisfied,Highly satisfied,Highly satisfied,Satisfied,Satisfied,Quizzes & Solutions,,Weekly online calls,Tableau project examples,Normal class discussions,,3,7,10,7,8
178,Male,41+,Degree,Student,Less than $20K,France,Newsletter,Yes,Yes,Yes,Yes,Yes,Highly satisfied,Highly satisfied,Neutral,Highly satisfied,Satisfied,Satisfied,Highly satisfied,Highly satisfied,Highly satisfied,Highly satisfied,Neutral,Highly satisfied,Quizzes & Solutions,,Weekly online calls,Tableau project examples,Normal class discussions,,6,7,9,7,9
179,Male,41+,Diploma,Student,Less than $20K,Sweden,LinkedIn,Yes,Yes,Yes,Yes,Yes,Satisfied,Satisfied,Highly satisfied,Highly satisfied,Highly satisfied,Highly satisfied,Highly satisfied,Highly satisfied,Satisfied,Satisfied,Satisfied,Highly satisfied,Quizzes & Solutions,,Weekly online calls,Tableau project examples,Normal class discussions,,7,10,10,7,8
180,Male,21-24,Master's Degree,Student,Less than $20K,United States,LinkedIn,Yes,Yes,Yes,Yes,Yes,Highly satisfied,Satisfied,Satisfied,Highly satisfied,Satisfied,Highly satisfied,Satisfied,Neutral,Satisfied,Satisfied,Satisfied,Satisfied,Quizzes & Solutions,Mock Exam,Weekly online calls,Tableau project examples,Normal class discussions,,8,7,10,7,8
181,Female,25-30,Master's Degree,Self-employed,$200K+,Greece,Through Ads,Yes,Yes,Yes,Yes,Yes,Neutral,Neutral,Highly satisfied,Satisfied,Satisfied,Highly satisfied,Neutral,Highly satisfied,Highly satisfied,Highly satisfied,Neutral,Highly satisfied,Quizzes & Solutions,Mock Exam,Weekly online calls,Tableau project examples,Normal class discussions,,2,7,7,8,8
182,Male,31-34,Diploma,Student,Less than $20K,Serbia,Website,Yes,Yes,Yes,Yes,Yes,Neutral,Satisfied,Neutral,Satisfied,Satisfied,Highly satisfied,Highly satisfied,Satisfied,Satisfied,Neutral,Neutral,Satisfied,Quizzes & Solutions,Mock Exam,Weekly online calls,Tableau project examples,,,5,7,10,7,9
183,Male,35-40,PHD,Employed,$20k-$44K,United States,Newsletter,Yes,Yes,Yes,Yes,Yes,Highly satisfied,Satisfied,Satisfied,Satisfied,Satisfied,Highly satisfied,Highly satisfied,Satisfied,Highly satisfied,Neutral,Neutral,Highly satisfied,Quizzes & Solutions,,Weekly online calls,Tableau project examples,Normal class discussions,,9,7,10,9,8
184,Male,25-30,Degree,Student,Less than $20K,Brazil,Referred by a friend,Yes,Yes,Yes,Yes,Yes,Neutral,Highly satisfied,Satisfied,Satisfied,Satisfied,Satisfied,Highly satisfied,Neutral,Highly satisfied,Satisfied,Highly satisfied,Highly satisfied,Quizzes & Solutions,,Weekly online calls,Tableau project examples,Normal class discussions,,8,8,8,7,8
185,Female,25-30,Diploma,Employed,Less than $20K,Iran,Facebook,Yes,Yes,Yes,Yes,Yes,Satisfied,Highly satisfied,Satisfied,Highly satisfied,Satisfied,Satisfied,Highly satisfied,Satisfied,Highly satisfied,Satisfied,Satisfied,Satisfied,Quizzes & Solutions,,Weekly online calls,Tableau project examples,Normal class discussions,,8,9,10,7,8
186,Male,35-40,Certificate,Self-employed,$20k-$44K,United States,Referred by a friend,Yes,Yes,Yes,Yes,Yes,Highly satisfied,Highly satisfied,Highly satisfied,Satisfied,Neutral,Highly satisfied,Highly satisfied,Satisfied,Neutral,Satisfied,Satisfied,Highly satisfied,Quizzes & Solutions,,Weekly online calls,Tableau project examples,Normal class discussions,,7,7,10,8,8
187,Female,35-40,PHD,Self-employed,$140K-$149K,Philippines,Referred by a friend,Yes,Yes,Yes,Yes,Yes,Satisfied,Satisfied,Highly satisfied,Satisfied,Satisfied,Highly satisfied,Satisfied,Neutral,Satisfied,Neutral,Satisfied,Highly satisfied,Quizzes & Solutions,,Weekly online calls,Tableau project examples,,Trainer's feedback through comments,8,7,10,7,8
188,Female,15-20,Master's Degree,Student,Less than $20K,Tunisia,LinkedIn,Yes,Yes,Yes,Yes,Yes,Highly satisfied,Satisfied,Satisfied,Highly satisfied,Satisfied,Satisfied,Highly satisfied,Satisfied,Highly satisfied,Satisfied,Highly satisfied,Satisfied,Quizzes & Solutions,,Weekly online calls,Tableau project examples,Normal class discussions,,8,10,10,10,9
189,Male,25-30,PHD,Self-employed,Less than $20K,Indonesia,LinkedIn,Yes,Yes,Yes,Yes,Yes,Satisfied,Satisfied,Highly satisfied,Satisfied,Satisfied,Satisfied,Satisfied,Neutral,Neutral,Highly satisfied,Satisfied,Satisfied,Quizzes & Solutions,,Weekly online calls,Tableau project examples,Normal class discussions,,8,7,10,8,8
190,Male,25-30,Master's Degree,Employed,$45K-$139K,Croatia,Newsletter,Yes,Yes,Yes,Yes,Yes,Neutral,Neutral,Satisfied,Satisfied,Highly satisfied,Satisfied,Highly satisfied,Satisfied,Neutral,Highly satisfied,Highly satisfied,Satisfied,Quizzes & Solutions,,Weekly online calls,Tableau project examples,,,10,10,7,7,8
191,Male,21-24,Diploma,Un-employed,Less than $20K,United Kingdom,Newsletter,Yes,Yes,Yes,Yes,Yes,Highly satisfied,Highly satisfied,Neutral,Satisfied,Highly satisfied,Highly satisfied,Highly satisfied,Satisfied,Highly satisfied,Satisfied,Neutral,Satisfied,,,Weekly online calls,Tableau project examples,Normal class discussions,,10,7,10,10,8
192,Male,35-40,Master's Degree,Student,Less than $20K,Mexico,Newsletter,Yes,Yes,Yes,Yes,Yes,Neutral,Satisfied,Satisfied,Satisfied,Highly satisfied,Highly satisfied,Highly satisfied,Satisfied,Highly satisfied,Satisfied,Satisfied,Satisfied,Quizzes & Solutions,Mock Exam,Weekly online calls,Tableau project examples,Normal class discussions,,10,7,10,10,8
193,Female,41+,Degree,Student,Less than $20K,Macedonia,Website,Yes,Yes,Yes,Yes,Yes,Highly satisfied,Neutral,Highly satisfied,Neutral,Neutral,Satisfied,Satisfied,Neutral,Satisfied,Neutral,Neutral,Satisfied,Quizzes & Solutions,Mock Exam,,Tableau project examples,Normal class discussions,,10,7,10,10,7
194,Female,35-40,PHD,Un-employed,Less than $20K,Kenya,LinkedIn,Yes,Yes,Yes,Yes,Yes,Highly satisfied,Highly satisfied,Highly satisfied,Highly satisfied,Neutral,Highly satisfied,Highly satisfied,Satisfied,Satisfied,Neutral,Satisfied,Satisfied,Quizzes & Solutions,Mock Exam,Weekly online calls,Tableau project examples,Normal class discussions,,10,9,10,10,8
195,Male,31-34,PHD,Employed,Less than $20K,India,Newsletter,Yes,Yes,Yes,Yes,Yes,Highly satisfied,Highly satisfied,Highly satisfied,Satisfied,Highly satisfied,Highly satisfied,Satisfied,Highly satisfied,Satisfied,Highly satisfied,Highly satisfied,Highly satisfied,Quizzes & Solutions,Mock Exam,,Tableau project examples,,,10,9,10,8,8
196,Male,21-24,Degree,Employed,$150K-$199K,Kenya,Through Ads,Yes,Yes,Yes,Yes,Yes,Satisfied,Satisfied,Highly satisfied,Highly satisfied,Neutral,Highly satisfied,Highly satisfied,Neutral,Highly satisfied,Satisfied,Highly satisfied,Satisfied,Quizzes & Solutions,,Weekly online calls,Tableau project examples,,,10,8,9,10,8
197,Female,31-34,Degree,Employed,$150K-$199K,Indonesia,Through Ads,Yes,Yes,Yes,Yes,Yes,Highly satisfied,Satisfied,Highly satisfied,Satisfied,Highly satisfied,Highly satisfied,Satisfied,Highly satisfied,Satisfied,Highly satisfied,Satisfied,Satisfied,,,Weekly online calls,Tableau project examples,Normal class discussions,,10,9,8,10,8
198,Male,25-30,Diploma,Student,Less than $20K,Albania,Referred by a friend,Yes,Yes,Yes,Yes,Yes,Satisfied,Satisfied,Neutral,Neutral,Satisfied,Satisfied,Neutral,Neutral,Highly satisfied,Highly satisfied,Highly satisfied,Satisfied,,,Weekly online calls,Tableau project examples,,,10,9,10,10,7
199,Female,41+,Certificate,Student,Less than $20K,United States,Facebook,Yes,Yes,Yes,Yes,Yes,Neutral,Satisfied,Neutral,Highly satisfied,Neutral,Satisfied,Satisfied,Neutral,Highly satisfied,Satisfied,Satisfied,Highly satisfied,Quizzes & Solutions,Mock Exam,Weekly online calls,Tableau project examples,Normal class discussions,,7,8,10,10,7
200,Female,31-34,Degree,Student,Less than $20K,United States,Through Ads,Yes,Yes,Yes,Yes,Yes,Highly satisfied,Highly satisfied,Satisfied,Highly satisfied,Highly satisfied,Satisfied,Satisfied,Satisfied,Satisfied,Highly satisfied,Highly satisfied,Highly satisfied,Quizzes & Solutions,Mock Exam,Weekly online calls,Tableau project examples,Normal class discussions,,8,9,7,9,9
201,Male,41+,Certificate,Student,Less than $20K,Portugal,Website,Yes,Yes,Yes,Yes,Yes,Highly satisfied,Satisfied,Satisfied,Satisfied,Highly satisfied,Highly satisfied,Satisfied,Highly satisfied,Satisfied,Highly satisfied,Neutral,Satisfied,Quizzes & Solutions,,Weekly online calls,Tableau project examples,,Trainer's feedback through comments,10,9,7,7,8
202,Male,21-24,Master's Degree,Un-employed,Less than $20K,France,Newsletter,Yes,Yes,Yes,Yes,Yes,Satisfied,Highly satisfied,Satisfied,Highly satisfied,Satisfied,Satisfied,Highly satisfied,Satisfied,Highly satisfied,Highly satisfied,Satisfied,Highly satisfied,Quizzes & Solutions,Mock Exam,Weekly online calls,Tableau project examples,Normal class discussions,,10,9,10,10,8
203,Female,21-24,Degree,Employed,$140K-$149K,Colombia,Website,Yes,Yes,Yes,Yes,Yes,Satisfied,Highly satisfied,Satisfied,Highly satisfied,Highly satisfied,Satisfied,Satisfied,Highly satisfied,Highly satisfied,Highly satisfied,Neutral,Highly satisfied,Quizzes & Solutions,,,Tableau project examples,,Trainer's feedback through comments,10,9,10,7,8
204,Male,31-34,PHD,Self-employed,$200K+,Norway,LinkedIn,Yes,Yes,Yes,Yes,Yes,Satisfied,Satisfied,Highly satisfied,Highly satisfied,Satisfied,Highly satisfied,Satisfied,Satisfied,Highly satisfied,Satisfied,Satisfied,Highly satisfied,Quizzes & Solutions,,Weekly online calls,Tableau project examples,Normal class discussions,,10,9,10,9,8
205,Male,35-40,Certificate,Employed,Less than $20K,Finland,Through Ads,Yes,Yes,Yes,Yes,Yes,Neutral,Highly satisfied,Highly satisfied,Highly satisfied,Satisfied,Satisfied,Highly satisfied,Satisfied,Neutral,Satisfied,Highly satisfied,Satisfied,Quizzes & Solutions,,Weekly online calls,Tableau project examples,Normal class discussions,,10,10,7,10,8
206,Male,21-24,Degree,Employed,Less than $20K,Nigeria,Through Ads,Yes,Yes,Yes,Yes,Yes,Neutral,Neutral,Highly satisfied,Neutral,Satisfied,Satisfied,Satisfied,Satisfied,Highly satisfied,Satisfied,Satisfied,Satisfied,,Mock Exam,Weekly online calls,Tableau project examples,,,10,9,8,10,7
207,Male,21-24,PHD,Employed,Less than $20K,United States,Newsletter,Yes,Yes,Yes,Yes,Yes,Highly satisfied,Highly satisfied,Neutral,Satisfied,Highly satisfied,Satisfied,Highly satisfied,Satisfied,Neutral,Highly satisfied,Highly satisfied,Neutral,Quizzes & Solutions,,Weekly online calls,Tableau project examples,Normal class discussions,Trainer's feedback through comments,10,8,10,10,9
208,Female,25-30,Degree,Self-employed,$45K-$139K,United States,LinkedIn,Yes,Yes,Yes,Yes,Yes,Satisfied,Satisfied,Neutral,Satisfied,Neutral,Satisfied,Satisfied,Satisfied,Neutral,Satisfied,Satisfied,Highly satisfied,Quizzes & Solutions,,Weekly online calls,Tableau project examples,Normal class discussions,Trainer's feedback through comments,8,9,10,10,9
209,Male,41+,Degree,Un-employed,Less than $20K,France,LinkedIn,Yes,Yes,Yes,Yes,Yes,Highly satisfied,Neutral,Neutral,Highly satisfied,Satisfied,Satisfied,Highly satisfied,Highly satisfied,Highly satisfied,Neutral,Highly satisfied,Satisfied,Quizzes & Solutions,Mock Exam,,Tableau project examples,Normal class discussions,,7,10,10,10,7
210,Male,41+,Diploma,Self-employed,Less than $20K,Nigeria,Website,Yes,Yes,Yes,Yes,Yes,Neutral,Highly satisfied,Highly satisfied,Highly satisfied,Highly satisfied,Highly satisfied,Satisfied,Neutral,Satisfied,Highly satisfied,Satisfied,Satisfied,Quizzes & Solutions,Mock Exam,Weekly online calls,Tableau project examples,Normal class discussions,,8,9,10,10,8
211,Male,35-40,PHD,Employed,Less than $20K,Indonesia,Facebook,Yes,Yes,Yes,Yes,Yes,Neutral,Satisfied,Satisfied,Satisfied,Highly satisfied,Satisfied,Satisfied,Neutral,Highly satisfied,Highly satisfied,Highly satisfied,Satisfied,,Mock Exam,Weekly online calls,Tableau project examples,,,7,10,10,8,9
212,Female,41+,Master's Degree,Un-employed,Less than $20K,Brazil,Website,Yes,Yes,Yes,Yes,Yes,Satisfied,Satisfied,Neutral,Satisfied,Highly satisfied,Satisfied,Highly satisfied,Neutral,Highly satisfied,Satisfied,Highly satisfied,Highly satisfied,Quizzes & Solutions,,Weekly online calls,Tableau project examples,Normal class discussions,,8,9,10,8,8
213,Female,15-20,Diploma,Employed,Less than $20K,United States,Referred by a friend,Yes,Yes,Yes,Yes,Yes,Satisfied,Neutral,Satisfied,Satisfied,Neutral,Satisfied,Satisfied,Highly satisfied,Neutral,Highly satisfied,Neutral,Neutral,Quizzes & Solutions,,Weekly online calls,Tableau project examples,Normal class discussions,,9,8,10,10,8
214,Male,15-20,Certificate,Student,Less than $20K,Poland,Newsletter,Yes,Yes,Yes,Yes,Yes,Satisfied,Neutral,Satisfied,Highly satisfied,Satisfied,Highly satisfied,Highly satisfied,Highly satisfied,Neutral,Satisfied,Neutral,Highly satisfied,Quizzes & Solutions,Mock Exam,Weekly online calls,Tableau project examples,Normal class discussions,Trainer's feedback through comments,7,8,10,10,8
215,Male,21-24,Degree,Student,Less than $20K,France,Newsletter,Yes,Yes,Yes,Yes,Yes,Satisfied,Highly satisfied,Satisfied,Highly satisfied,Highly satisfied,Satisfied,Highly satisfied,Satisfied,Highly satisfied,Satisfied,Highly satisfied,Satisfied,Quizzes & Solutions,,Weekly online calls,Tableau project examples,,,8,9,9,9,8
216,Male,31-34,PHD,Self-employed,$45K-$139K,Bahrain,Referred by a friend,Yes,Yes,Yes,Yes,Yes,Satisfied,Satisfied,Highly satisfied,Highly satisfied,Neutral,Satisfied,Neutral,Satisfied,Highly satisfied,Neutral,Satisfied,Highly satisfied,Quizzes & Solutions,Mock Exam,Weekly online calls,Tableau project examples,,,10,9,10,7,9
217,Female,25-30,Certificate,Student,Less than $20K,Colombia,Referred by a friend,Yes,Yes,Yes,Yes,Yes,Highly satisfied,Satisfied,Satisfied,Satisfied,Satisfied,Satisfied,Highly satisfied,Satisfied,Satisfied,Neutral,Satisfied,Highly satisfied,Quizzes & Solutions,Mock Exam,Weekly online calls,Tableau project examples,Normal class discussions,Trainer's feedback through comments,10,9,10,10,8
218,Male,25-30,Certificate,Student,Less than $20K,Sweden,Newsletter,Yes,Yes,Yes,Yes,Yes,Satisfied,Neutral,Highly satisfied,Satisfied,Neutral,Satisfied,Satisfied,Highly satisfied,Highly satisfied,Highly satisfied,Highly satisfied,Highly satisfied,Quizzes & Solutions,Mock Exam,Weekly online calls,Tableau project examples,,,8,9,10,10,1
219,Female,21-24,PHD,Employed,$150K-$199K,Sweden,LinkedIn,Yes,Yes,Yes,Yes,Yes,Satisfied,Satisfied,Satisfied,Satisfied,Satisfied,Satisfied,Highly satisfied,Satisfied,Neutral,Satisfied,Satisfied,Highly satisfied,Quizzes & Solutions,,,Tableau project examples,Normal class discussions,,8,9,10,10,2
220,Male,21-24,Degree,Student,Less than $20K,Philippines,Newsletter,Yes,Yes,Yes,Yes,Yes,Satisfied,Neutral,Highly satisfied,Satisfied,Neutral,Highly satisfied,Satisfied,Satisfied,Highly satisfied,Satisfied,Highly satisfied,Highly satisfied,Quizzes & Solutions,,Weekly online calls,Tableau project examples,Normal class discussions,,8,7,10,10,5
221,Female,15-20,PHD,Student,Less than $20K,Guatemala,Website,Yes,Yes,Yes,Yes,Yes,Satisfied,Highly satisfied,Highly satisfied,Satisfied,Satisfied,Satisfied,Neutral,Satisfied,Highly satisfied,Satisfied,Highly satisfied,Highly satisfied,Quizzes & Solutions,Mock Exam,Weekly online calls,Tableau project examples,,,8,9,9,10,8
